Click	Expan^	%loss	%bias	 #of colors -- times it occured in 
size	size			 1000 iterations	
---------------------------------------------------------------------------------
11	100	10	50/50:	 (11--0.015) (12--0.14) (13--0.22)
11	100	10	70/30:	 (11--0.029) (12--0.16) (13--0.11)
11	100	10	90/10:	 (12--0.051) (13--0.12) (14--0.18)
                  
11	100	20	50/50:	 (10--0.077) (11--0.19) (12--0.28)
11	100	20	70/30:	 (10--0.019) (11--0.1) (12--0.14)
11	100	20	90/10:	 (11--0.025) (12--0.045) (13--0.13)
                  
11	100	30	50/50:	 (8--0.027) (10--0.13) (11--0.31)
11	100	30	70/30:	 (9--0.017) (10--0.019) (11--0.25)
11	100	30	90/10:	 (9--0.023) (10--0.018) (11--0.13)
                  
11	100	40	50/50:	 (9--0.089) (10--0.44) (11--0.37)
11	100	40	70/30:	 (8--0.063) (9--0.16) (10--0.3)
11	100	40	90/10:	 (10--0.32) (11--0.37) (12--0.12)
                  
11	100	50	50/50:	 (7--0.024) (8--0.29) (9--0.38)
11	100	50	70/30:	 (8--0.31) (9--0.45) (10--0.22)
11	100	50	90/10:	 (8--0.035) (9--0.25) (10--0.4)
                  
11	100	60	50/50:	 (7--0.037) (8--0.52) (9--0.37)
11	100	60	70/30:	 (7--0.11) (8--0.5) (9--0.28)
11	100	60	90/10:	 (7--0.088) (8--0.32) (9--0.39)
                  
11	100	70	50/50:	 (7--0.37) (8--0.51) (9--0.12)
11	100	70	70/30:	 (6--0.11) (7--0.51) (8--0.38)
11	100	70	90/10:	 (7--0.21) (8--0.55) (9--0.23)
                  
11	100	80	50/50:	 (6--0.25) (7--0.63) (8--0.12)
11	100	80	70/30:	 (5--0.12) (6--0.49) (7--0.4)
11	100	80	90/10:	 (6--0.17) (7--0.64) (8--0.12)
                  
11	100	90	50/50:	 (5--0.035) (6--0.38) (7--0.58)
11	100	90	70/30:	 (5--0.046) (6--0.81) (7--0.098)
11	100	90	90/10:	 (6--0.5) (7--0.44) (8--0.053)
                  
----------------------
11	200	10	50/50:	 (11--0.005) (12--0.006) (13--0.034)
11	200	10	70/30:	 (11--0.014) (12--0.015) (13--0.029)
11	200	10	90/10:	 (12--0.015) (13--0.019) (14--0.062)
                  
11	200	20	50/50:	 (10--0.007) (11--0.006) (12--0.008)
11	200	20	70/30:	 (11--0.007) (13--0.035) (14--0.11)
11	200	20	90/10:	 (12--0.006) (13--0.022) (14--0.1)
                  
11	200	30	50/50:	 (10--0.008) (12--0.09) (13--0.19)
11	200	30	70/30:	 (11--0.011) (12--0.12) (13--0.23)
11	200	30	90/10:	 (12--0.034) (13--0.25) (14--0.25)
                  
11	200	40	50/50:	 (9--0.034) (10--0.044) (11--0.27)
11	200	40	70/30:	 (9--0.036) (10--0.1) (11--0.27)
11	200	40	90/10:	 (10--0.055) (11--0.2) (12--0.36)
                  
11	200	50	50/50:	 (9--0.12) (10--0.37) (11--0.39)
11	200	50	70/30:	 (8--0.036) (9--0.17) (10--0.47)
11	200	50	90/10:	 (9--0.22) (10--0.37) (11--0.29)
                  
11	200	60	50/50:	 (7--0.022) (8--0.16) (9--0.58)
11	200	60	70/30:	 (7--0.025) (8--0.44) (9--0.48)
11	200	60	90/10:	 (7--0.028) (8--0.28) (9--0.47)
                  
11	200	70	50/50:	 (6--0.026) (7--0.16) (8--0.66)
11	200	70	70/30:	 (6--0.12) (7--0.39) (8--0.39)
11	200	70	90/10:	 (6--0.024) (7--0.086) (8--0.55)
                  
11	200	80	50/50:	 (6--0.061) (7--0.7) (8--0.22)
11	200	80	70/30:	 (6--0.31) (7--0.66) (8--0.032)
11	200	80	90/10:	 (6--0.14) (7--0.63) (8--0.14)
                  
11	200	90	50/50:	 (6--0.51) (7--0.43) (8--0.059)
11	200	90	70/30:	 (5--0.17) (6--0.63) (7--0.2)
11	200	90	90/10:	 (5--0.037) (6--0.52) (7--0.3)
                  
----------------------
11	300	10	50/50:	 (11--0.002) (12--0.005) (13--0.017)
11	300	10	70/30:	 (9--0.002) (12--0.007) (13--0.002)
11	300	10	90/10:	 (13--0.007) (14--0.015) (15--0.044)
                  
11	300	20	50/50:	 (13--0.007) (14--0.025) (15--0.043)
11	300	20	70/30:	 (13--0.005) (14--0.025) (15--0.059)
11	300	20	90/10:	 (14--0.013) (15--0.03) (16--0.1)
                  
11	300	30	50/50:	 (12--0.02) (13--0.049) (14--0.17)
11	300	30	70/30:	 (12--0.017) (13--0.061) (14--0.15)
11	300	30	90/10:	 (11--0.007) (12--0.007) (13--0.045)
                  
11	300	40	50/50:	 (10--0.029) (11--0.059) (12--0.2)
11	300	40	70/30:	 (10--0.018) (11--0.071) (12--0.29)
11	300	40	90/10:	 (11--0.066) (12--0.27) (13--0.25)
                  
11	300	50	50/50:	 (9--0.041) (10--0.26) (11--0.35)
11	300	50	70/30:	 (9--0.093) (10--0.31) (11--0.51)
11	300	50	90/10:	 (9--0.05) (10--0.25) (11--0.47)
                  
11	300	60	50/50:	 (8--0.089) (9--0.4) (10--0.42)
11	300	60	70/30:	 (7--0.045) (8--0.32) (9--0.45)
11	300	60	90/10:	 (8--0.17) (9--0.47) (10--0.3)
                  
